Time,Power Setpoint,Left RPM,Left Count,Right RPM,Right Count
9.20008397102356,75,100.0083474046038,470,95.00766304962623,467
9.300131559371948,75,94.98661598303347,476,94.98355334242335,474
9.400165796279907,75,89.97155794109703,482,94.96917965546443,480
9.500045776367188,75,90.0115119691933,488,100.01514189024111,487
9.600122928619385,75,94.99879921230358,495,95.00866205765328,493
9.700070142745972,75,100.0275515824618,502,95.03477374023085,499
9.800095081329346,75,99.98402263270081,508,89.98523658378947,505
9.900044202804565,75,95.02627643064613,514,95.0261809642755,512
10.000160217285156,75,89.97302760469329,520,94.97557282590328,518
10.10014295578003,75,89.98568665994293,526,99.98909510541479,525
10.200135469436646,75,94.97303574904053,533,94.97352462810841,531
10.300004720687866,75,100.05362173565885,540,95.0475646184796,537
10.400133848190308,75,100.00975409658247,546,90.00283375514137,543
10.500121831893921,75,95.010739002367,552,95.00479389314354,550
10.600022077560425,75,89.99487321127607,558,94.99547409829978,556
10.700069189071655,75,90.01943470676026,564,100.01768112744712,563
10.80003023147583,75,95.02946985715704,571,95.02516675188605,569
10.900125503540039,75,99.96620019048862,578,94.96665615436467,575
11.000168561935425,75,99.96741502957634,584,89.97022545978923,581
11.100040197372437,75,94.99233342185215,590,95.00351896846833,588
11.200139284133911,75,89.99595030284125,596,95.00237678031039,594
11.300015449523926,75,95.0522581143543,603,100.05868459182345,601
11.400002241134644,75,100.01832279648436,610,95.01766228977795,607
11.50011944770813,75,100.01289859137444,616,95.01223808466803,613
11.600161075592041,75,94.9570195701004,622,89.956359063394,619
11.700100421905518,75,89.97060317241983,628,94.9736376972972,626
11.800077676773071,75,95.01368658803172,635,100.01672111290911,633
11.900127172470093,75,100.0088548329108,642,100.01436291833322,639
12.00014877319336,75,99.98416886613798,648,94.98664242668303,645
12.100015878677368,75,95.01612766683569,654,90.01860122738073,651
12.200108766555786,75,90.00560208757823,660,95.00096200373277,658
12.300071001052856,75,90.0234148362818,666,95.01877475243634,664
12.400012493133545,75,95.00398318801349,673,99.99934310416806,671
12.500106811523438,75,95.00355483684662,679,95.00355483684662,677
12.600056648254395,75,100.00978686147432,686,95.00727743921392,683
12.70003867149353,75,94.99469109950849,692,89.9921816772481,689
12.800135612487793,75,94.99390582083463,698,94.98655404308863,696
12.90006136894226,75,89.99862947727,704,94.99378712178441,702
13.000009536743164,75,95.01138615692378,711,95.0039508474983,708
13.100135087966919,75,95.00282215274228,717,94.99395950928657,715
13.200040817260742,75,100.01355842137718,724,94.99997779493675,721
13.300021409988403,75,95.00123105564568,730,94.99024338314513,727
13.400068283081055,75,95.0247938531176,736,90.02007587013289,733
13.500070095062256,75,89.9912243877139,742,94.99113379029545,740
13.60004711151123,75,89.99229772626903,748,94.99220712885058,746
13.70014214515686,75,94.97312286978843,755,99.97303227236996,753
13.800154447555542,75,99.96936114441694,762,94.96997618868583,759
13.90014386177063,75,99.96564056569991,768,94.9662556099688,765
14.00011944770813,75,95.00619676912957,774,90.00681181339844,771
14.100171566009521,75,89.99487473330142,780,94.99227017568302,778
14.200098514556885,75,90.01363011865463,786,95.01102556103625,784
14.30013394355774,75,94.99390835272298,793,99.99130379510457,791
14.400089979171753,75,100.02493000153937,800,95.02273081538137,797
14.50006628036499,75,100.01010987182893,806,95.00791068567092,803
14.600125312805176,75,95.004806346698,812,90.00260716054,809
14.700161695480347,75,94.97668273854384,819,94.97668273854384,816
14.800084352493286,75,94.99279226703698,825,99.99666240967395,823
14.900011777877808,75,100.03591111434157,832,100.03614989075452,829
15.00005555152893,75,95.03551406993518,838,95.03575284634813,835
